,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,,,,,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,,,,,
6400,AUCKLAND,36,51,174,46,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,3.3,2.8,0.9,0.4,1.90,,,,,,
6399b,Devonport Naval Base,36,50,174,47,0000,-0007 to +0003,0000,-0007 to +0004,3.2,2.7,0.9,0.4,1.8,0.97,,,,,
6402,Maraetai ,36,52,175,03,-0015,-,-0015,-,-,-,-,-,-,-,*,,,,
6399c,Onetaunga Bay,36,49,174,42,+0004,-,-0007,-,3.4,2.9,0.9,0.5,2.0,1.00,*,,,,
,Coromandel Peninsula,,,,,,,,,,,,,,,,,,,
6405,Coromandel Harbour - Whanganui Island,36,47,175,27,-0021,-0044 to +0011,-0015,-0048 to +0011,2.9,2.5,0.7,0.2,1.6,0.93,,,,,
6404,Thames - Rocky Point,37,06,175,31,-0017,-0027 to -0009,-0010,-0017 to +0003,3.8,3.2,1.1,0.5,2.2,1.14,,,,,
,Hauraki Gulf,,,,,,,,,,,,,,,,,,,
6398,Mahurangi Harbour,36,29,174,43,+0002,-,+0012,-,-,-,-,-,-,-,*,,,,
6396a,Mangawhai Heads,36,05,174,36,+0005,-,+0005,-,-,-,-,-,-,-,*,,,,
6397a,Matakana River - Sandspit,36,24,174,44,+0005,-,+0005,-,2.7,2.4,0.9,0.5,1.6,0.76,*,,,,
6399a,Murrays Bay,36,44,174,45,-0025,-,-0003,-,2.9,2.6,0.7,0.5,1.7,0.83,*,,,,
6396b,Omaha Cove,36,17,174,48,-0008,-0016 to +0001,+0003,-0005 to +0011,2.6,2.2,0.7,0.3,1.4,0.79,,,,,
6398a,Tiritiri Matangi Island,36,36,174,53,+0010,-0011 to +0042,-0003,-0029 to +0029,3.0,2.5,0.8,0.3,1.6,0.93,,,,,
6399,Weiti River Entrance,36,39,174,44,+0001,-0020 to +0022,+0007,-0023 to +0025,3.0,2.5,0.8,0.2,1.7,0.97,,,,,
6396c,Whangateau Harbour,36,19,174,47,-,-,-,-,2.7,2.3,0.6,0.2,1.5,0.86,*,,,,
,Kawau Island,,,,,,,,,,,,,,,,,,,
6397,Bon Accord Harbour - Mansion House Bay,36,26,174,49,-0015,-0035 to +0036,-0004,-0023 to +0043,2.7,2.3,0.8,0.3,1.5,0.83,,,,,
,Waiheke Island,,,,,,,,,,,,,,,,,,,
6401,Man o’War Bay,36,47,175,09,-0018,-0035 to -0002,-0008,-0025 to +0006,3.0,2.5,0.7,0.2,1.6,0.97,,,,,
