"region","port"

"Abel Tasman","Nelson"
"Abel Tasman","Motueka"
"Abel Tasman","Kaiteriteri"
"Abel Tasman","Astrolabe Roadstead"

"Lyttelton","Lyttelton"
"Lyttelton","Sumner"

"Banks Peninsula","Lyttelton"
"Banks Peninsula","Sumner"
"Banks Peninsula","Akaora"
"Banks Peninsula","Tikao Bay"

"Bay of Islands","Doves Bay"
"Bay of Islands","Kerikeri"
"Bay of Islands","Opua"
"Bay of Islands","Russell"
"Bay of Islands","Waitangi"
"Bay of Islands","Marsden Point"
"Bay of Islands","Auckland"

"Havelock -- Tennysson Inlet","Nelson"
"Havelock -- Tennysson Inlet","Havelock"
"Havelock -- Tennysson Inlet","Elaine Bay"

"Tasman Bay","Greville Harbour"
"Tasman Bay","Croisilles Harbour - Kotiro Point"
"Tasman Bay","Nelson"
"Tasman Bay","Mapua"
"Tasman Bay","Motueka"
"Tasman Bay","Kaiteriteri"
"Tasman Bay","Astrolabe Roadstead"
"Tasman Bay","Tarakohe"

